Valence;stage;Label;Sublabel;Action;Action Type;Description;Description German (original);Description German;
sustain;motivieren;Reason;ability;Amplified;Reflection;An amplified reflection involves reflecting back what the person has said in an exaggerated form. This technique may encourage the client to back off a bit or consider another side of personal ambivalence. It’s important to provide amplified reflections in an empathetic manner, free of sarcasm.;Bei einer verstärkten Reflexion wird das, was die Person gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, verstärkte Reflexionen auf einfühlsame Weise und ohne Sarkasmus zu geben.;Bei einer amplified reflection wird das, was der Klient gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, amplified reflections auf einfühlsame Weise und ohne Sarkasmus zu geben.;
sustain;motivieren;Reason;ability;Affirmation;Other;An affirmation is a positive statement regarding one’s character or values that acknowledges his or her strengths and efforts. ﻿The practitioner must interpret what the client has said and make a guess about what kind of positive efforts the client has demonstrated. In order to avoid mak- ing the client feel judged, focus an affirmation around specific behaviors or characteristics instead of attitudes, decisions, or goals. Pick a characteristic you are certain the person possesses. If the client disagrees with you and begins to focus on why she does not agree with the statement, the whole focus of the appointment can be sidetracked. ﻿When crafting affirmations avoid starting with “I.” You are not the focus, the client is.;"Eine Affirmation ist eine positive Aussage über den Charakter oder die Werte einer Person, die ihre Stärken und Bemühungen anerkennt. ﻿Der Praktiker muss interpretieren, was der Klient gesagt hat, und eine Vermutung darüber anstellen, welche Art von positiven Bemühungen der Klient gezeigt hat. Um zu vermeiden, dass sich der Klient verurteilt fühlt, sollten Sie sich bei der Bestätigung auf bestimmte Verhaltensweisen oder Eigenschaften konzentrieren und nicht auf Einstellungen, Entscheidungen oder Ziele. Wählen Sie eine Eigenschaft, von der Sie überzeugt sind, dass die Person sie besitzt. Wenn die Klientin nicht mit Ihnen übereinstimmt und sich darauf konzentriert, warum sie mit der Aussage nicht einverstanden ist, kann der gesamte Schwerpunkt des Gesprächs in die falsche Richtung gelenkt werden. ﻿ ﻿Wenn Sie Affirmationen formulieren, vermeiden Sie es, mit ""ich"" zu beginnen. Sie stehen nicht im Mittelpunkt, sondern die Klientin.";Eine Affirmation ist eine positive Aussage über den Charakter oder die Werte des Klienten, die seine Stärken und Bemühungen anerkennt. Du musst dabei interpretieren, was der Klient gesagt hat und eine Vermutung darüber anstellen, welche Art von positiven Bemühungen er gezeigt hat. Konzentriere dich dabei auf bestimmte Verhaltensweisen oder Eigenschaften und nicht auf Einstellungen, Entscheidungen oder Ziele. Vermeide es, die Affirmation mit „Ich“ zu beginnen. Der Klient steht im Mittelpunkt, nicht du.;
change;motivieren;Reason;desire;Querying Extremes;Question;Another way to elicit change talk is to invite clients to explore the best consequences of making the change and/or the worse consequences of not making the change. Doing so invites the client to consider best and worst case scenarios.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klient aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;
ambivalence;motivieren;Reason;desire;double-sided;Reflection;Double-sided reflections are used when the client is expressing ambivalence. When the client is sharing both advantages and disadvantages of making a behavior change, it can be productive to reflect back the expressed ambiva- lence so the client better understands his conflicted feelings. Double-sided reflections often start with “On one hand . . . ,” and finish with “On the other hand. . . . ” When providing a double-sided reflection, connect both sides with “and” instead of “but” in order to give both choices equal weight;"Beidseitige Reflexionen werden eingesetzt, wenn der Klient Ambivalenzen äußert. Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . ""Verbinden Sie bei einer doppelseitigen Reflexion beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";"Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . „ Verbinde bei einer double-sided reflection beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";
change;motivieren;Reason;desire;Exploring Goals and Values;Question;Often there is discrepancy between a client’s values and lifestyle choices. For example, a client may say that he values good health and has a goal of preventing a second heart attack. He may also mention that he hasn’t been exercising at all in the last month. By asking a well-formed open-ended question to find out what’s important to your client, you can invite him to explore possible discrepancies between goals, values, and behavior.;Häufig besteht eine Diskrepanz zwischen den Werten eines Klienten und seinen Lebensstilentscheidungen. Ein Klient kann zum Beispiel sagen, dass ihm seine Gesundheit wichtig ist und er einen zweiten Herzinfarkt verhindern möchte. Er kann aber auch sagen, dass er im letzten Monat überhaupt keinen Sport getrieben hat. Indem Sie eine gut formulierte offene Frage stellen, um herauszufinden, was Ihrem Klienten wichtig ist, können Sie ihn auffordern, mögliche Diskrepanzen zwischen Zielen, Werten und Verhalten zu untersuchen.;Häufig besteht eine Diskrepanz zwischen den Werten einer Person und ihren Lebensstilentscheidungen. Indem du eine gut formulierte offene Frage stellst, um herauszufinden, was deinem Klienten wichtig ist, kannst du ihn auffordern, mögliche Diskrepanzen zwischen Zielen, Werten und Verhalten zu untersuchen.;
change;motivieren;Reason;desire;Looking Forward;Question;Another way to elicit change talk is to invite the client to consider a future where the behavior change has been made, or to consider a future where the behavior change has not been made. These questions encourage the client to visualize possible long term benefits of change.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, sich eine Zukunft vorzustellen, in der die Verhaltensänderung vollzogen wurde, oder eine Zukunft, in der die Verhaltensänderung nicht vollzogen wurde. Diese Fragen ermutigen den Klienten, sich mögliche langfristige Vorteile der Veränderung vorzustellen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, sich eine Zukunft vorzustellen, in der die Verhaltensänderung vollzogen wurde, oder eine Zukunft, in der die Verhaltensänderung nicht vollzogen wurde. Diese Fragen ermutigen den Klienten, sich mögliche langfristige Vorteile der Veränderung vorzustellen.;
change;motivieren;Reason;desire;Elaboration;Question;"Once a reason for change has been named, it is often the counselor’s ten-
dency to move on and find others. It can be quite useful, however, to have the client elaborate on a topic before moving on. For one thing, it is a way of eliciting further change talk, and it helps reinforce the motivational theme.
There are several ways of eliciting elaboration once a reason for change has been raised. They include:
1. Asking for clarification: In what ways? How much? When? 2. Asking for a specific example. 3. Asking for a description of the last time this occurred. 4. Asking “What else?” within the change topic.";"Sobald ein Grund für eine Veränderung genannt wurde, neigt der Berater oft dazu, weiterzugehen und andere zu finden. Es kann jedoch sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor er weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das motivierende Thema zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";"Es kann sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor es zum nächsten Thema weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das Change Talk zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";
change;motivieren;Reason;desire;Continuing the Paragraph;Reflection;Reflections that continue the paragraph take a guess at what is unstated but implied in the conversation. These reflections move the client forward, sometimes moving the conversation in a new direction.﻿ Continuing the paragraph can help bring up new pieces of the puzzle in exploring ambivalence about a change.;Überlegungen, die den Absatz fortsetzen, lassen erahnen, was in dem Gespräch nicht gesagt, aber angedeutet wurde. Diese Überlegungen bringen den Klienten weiter und lenken das Gespräch manchmal in eine neue Richtung.﻿ Die Fortsetzung des Absatzes kann dazu beitragen, neue Puzzleteile bei der Erkundung von Ambivalenzen gegenüber einer Veränderung zu finden.;Continuing the paragraph Reflexionen lassen erahnen, was in dem Gespräch nicht gesagt, aber angedeutet wurde. Diese Überlegungen bringen den Klienten weiter und lenken das Gespräch manchmal in eine neue Richtung.﻿ Continuing the Paragraph kann dazu beitragen, neue Puzzleteile bei der Erkundung von Ambivalenzen gegenüber einer Veränderung zu finden.;
sustain;motivieren;Reason;desire;Querying Extremes;Question;Another way to elicit change talk is to invite clients to explore the best consequences of making the change and/or the worse consequences of not making the change. Doing so invites the client to consider best and worst case scenarios.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klient aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;
ambivalence;motivieren;Reason;desire;Metaphor;Reflection;A metaphor, simile, or analogy can help bring a concept to life. Comparing what the client says to an object or action helps emphasize the complex- ity of the client’s feelings. Often words can be rather limiting. By using a metaphor the practitioner paints a picture of how the client may feel. The imagery provides a new way to look at what was said, ultimately deepening the client’s understanding.;Eine Metapher, ein Gleichnis oder eine Analogie kann helfen, ein Konzept zum Leben zu erwecken. Der Vergleich zwischen dem, was der Klient sagt, und einem Objekt oder einer Handlung hilft, die Komplexität der Gefühle des Klienten zu unterstreichen. Oft können Worte sehr einschränkend sein. Durch die Verwendung einer Metapher malt der Therapeut ein Bild davon, wie sich der Klient fühlen könnte. Die Bildhaftigkeit bietet eine neue Sichtweise auf das Gesagte und vertieft letztlich das Verständnis des Klienten.;Eine Metapher, ein Gleichnis oder eine Analogie kann helfen, ein Konzept zum Leben zu erwecken. Der Vergleich zwischen dem, was der Klient sagt, und einem Objekt oder einer Handlung hilft, die Komplexität der Gefühle des Klienten zu unterstreichen. Oft können Worte sehr einschränkend sein. Durch die Verwendung einer Metapher malt der Therapeut ein Bild davon, wie sich der Klient fühlen könnte. Die Bildhaftigkeit bietet eine neue Sichtweise auf das Gesagte und vertieft letztlich das Verständnis des Klienten.;
sustain;motivieren;Reason;desire;Reframe;Reflection;A reframe is a reflection that highlights a different perspective within the client’s statement. It’s particularly useful to deemphasize sustain ﻿talk. A practitioner may hear sustain talk and recast the statement into a neutral statement, change talk, or an affirmation.;"Ein Reframe ist eine Reflexion, die eine andere Perspektive in der Aussage des Klienten hervorhebt. Es ist besonders nützlich, um das ""sustain talk"" zu entschärfen. Ein Therapeut kann das ""sustain talk"" hören und die Aussage in eine neutrale Aussage, ein ""change talk"" oder eine Affirmation umformulieren.";"Ein Reframe ist eine Reflexion, die eine andere Perspektive in der Aussage des Klienten hervorhebt. Es ist besonders nützlich, um ""sustain talk"" zu entschärfen. Ein Therapeut kann ""sustain talk"" hören und die Aussage in eine neutrale Aussage, ein ""change talk"" oder eine Affirmation umformulieren.";
sustain;motivieren;Reason;desire;Undershooting;Reflection;An undershooting reflection might be used at times to encourage continued exploration. The undershooting reflection depreciates the intensity of the emotion expressed. Doing so may encourage the client to clarify what was meant which can deepen the client’s understanding of her feelings.;Eine unterschwellige Reflexion kann gelegentlich eingesetzt werden, um die weitere Erkundung zu fördern. Bei der unterschwelligen Reflexion wird die Intensität der ausgedrückten Emotion herabgesetzt. Dies kann die Klientin dazu ermutigen, zu klären, was gemeint war, was das Verständnis der Klientin für ihre Gefühle vertiefen kann.;Undershooting kann gelegentlich eingesetzt werden, um die weitere Erkundung zu fördern. Beim Undershooting wird die Intensität der ausgedrückten Emotion herabgesetzt. Dies kann den Klienten dazu ermutigen, zu klären, was gemeint war, was das Verständnis des Klienten für seine Gefühle vertiefen kann.;
sustain;motivieren;Reason;desire;Amplified;Reflection;An amplified reflection involves reflecting back what the person has said in an exaggerated form. This technique may encourage the client to back off a bit or consider another side of personal ambivalence. It’s important to provide amplified reflections in an empathetic manner, free of sarcasm.;Bei einer verstärkten Reflexion wird das, was die Person gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, verstärkte Reflexionen auf einfühlsame Weise und ohne Sarkasmus zu geben.;Bei einer amplified reflection wird das, was der Klient gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, amplified reflections auf einfühlsame Weise und ohne Sarkasmus zu geben.;
sustain;motivieren;Reason;desire;Emphasize Control;Other;When people perceive that their freedom of choice is being threatened, they tend to react by asserting their liberty. It is a common and natural reaction to a threatening loss of choice. Probably the best antidote for this reaction is to assure the person of what is surely the truth: in the end, it is the client who determines what happens.;Wenn Menschen ihre Entscheidungsfreiheit bedroht sehen, neigen sie dazu, ihre Freiheit einzufordern. Das ist eine übliche und natürliche Reaktion auf einen drohenden Verlust der Wahlfreiheit. Das wahrscheinlich beste Gegenmittel für diese Reaktion ist, der Person zu versichern, das sie es ist, die Entscheidet was passiert.;Wenn Menschen ihre Entscheidungsfreiheit bedroht sehen, neigen sie dazu, ihre Freiheit einzufordern. Das ist eine übliche und natürliche Reaktion auf einen drohenden Verlust der Wahlfreiheit. Das wahrscheinlich beste Gegenmittel für diese Reaktion ist, dem Klienten zu versichern, das er es ist, die Entscheidet was passiert.;
change;motivieren;Reason;need;Digging Deep;Question;"The term digging deep, sometimes referred to as unpacking, is necessary when a client makes a statement and you suspect there may ﻿be more to the story. In other words, ﻿you may need to spend some time ﻿probing to uncover pertinent
infor﻿mation about the client’s situation, feelings, and reactions. First, provide a reflection to the client’s statement to ensure that you understand the meaning of what was said. These reflections can be followed by open-ended questions to further explore the client’s meaning. ﻿Slow down and encourage the client to explore underlying issues.";"Der Begriff ""digging deep"", manchmal auch ""unpacking"" genannt, ist notwendig, wenn ein Klient eine Aussage macht und Sie vermuten, dass mehr dahinter steckt. Mit anderen Worten, Sie müssen möglicherweise einige Zeit damit verbringen, relevante Informationen über die Situation, Gefühle und Reaktionen der Klientin herauszufinden. Reflektieren Sie zunächst die Aussage des Klienten, um sicherzustellen, dass Sie die Bedeutung des Gesagten verstehen. An diese Überlegungen können sich offene Fragen anschließen, um die Bedeutung des Klienten weiter zu erforschen. ﻿Verlangsamen Sie das Gespräch und ermutigen Sie die Klientin, die zugrunde liegenden Themen zu erkunden.";„Digging Deep“ ist notwendig, wenn der Klient eine Aussage macht, bei der mehr dahinterstecken könnte. Damit können relevante Informationen über die Situation, Gefühle und Reaktionen des Gegenübers herausgefunden werden. Reflektiere zunächst die Aussage des Klienten um sicherzustellen, dass du die Bedeutung des Gesagten verstehst. Schließe daran eine offene Frage an, um die Bedeutung des Gesagten weiter zu erforschen. Ermutige den Klienten, die zugrunde liegenden Themen zu erkunden. ;
change;motivieren;Reason;need;Querying Extremes;Question;Another way to elicit change talk is to invite clients to explore the best consequences of making the change and/or the worse consequences of not making the change. Doing so invites the client to consider best and worst case scenarios.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klient aufzufordern, die besten Folgen einer Veränderung und/oder die schlimmsten Folgen einer Nichtveränderung zu erkunden. Auf diese Weise wird der Klient aufgefordert, den besten und den schlimmsten Fall in Betracht zu ziehen.;
ambivalence;motivieren;Reason;need;double-sided;Reflection;Double-sided reflections are used when the client is expressing ambivalence. When the client is sharing both advantages and disadvantages of making a behavior change, it can be productive to reflect back the expressed ambiva- lence so the client better understands his conflicted feelings. Double-sided reflections often start with “On one hand . . . ,” and finish with “On the other hand. . . . ” When providing a double-sided reflection, connect both sides with “and” instead of “but” in order to give both choices equal weight;"Beidseitige Reflexionen werden eingesetzt, wenn der Klient Ambivalenzen äußert. Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . ""Verbinden Sie bei einer doppelseitigen Reflexion beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";"Wenn der Klient sowohl Vorteile als auch Nachteile einer Verhaltensänderung mitteilt, kann es produktiv sein, die geäußerte Ambivalenz zu reflektieren, damit der Klient seine widersprüchlichen Gefühle besser versteht. Zweiseitige Reflexionen beginnen oft mit ""Einerseits ... "" und enden mit ""Andererseits. . . . „ Verbinde bei einer double-sided reflection beide Seiten mit ""und"" anstelle von ""aber"", um beiden Möglichkeiten gleiches Gewicht zu verleihen.";
change;motivieren;Reason;need;Strength-based;Question;If a client understands what must be done but has no confidence in his abilities to implement these necessary changes, not much else will help. People with low self-efficacy tend to believe tasks are more difficult than those with higher self-efficacy. Guiding the client to talk about his strengths, skills, and accomplishments in related situations will help build self-efficacy moving the client one step closer toward making a behavior change.;Wenn ein Klient versteht, was getan werden muss, aber kein Vertrauen in seine Fähigkeiten hat, diese notwendigen Veränderungen umzusetzen, wird nicht viel anderes helfen. Menschen mit geringer Selbstwirksamkeit neigen dazu, Aufgaben für schwieriger zu halten als Menschen mit höherer Selbstwirksamkeit. Wenn Sie den Klienten dazu anleiten, über seine Stärken, Fähigkeiten und Erfolge in ähnlichen Situationen zu sprechen, wird dies dazu beitragen, seine Selbstwirksamkeit zu stärken und den Klienten der Verhaltensänderung einen Schritt näher zu bringen.;Wenn der Klient versteht, was getan werden muss, aber kein Vertrauen in seine Fähigkeiten hat, diese notwendigen Veränderungen umzusetzen, wird nicht viel anderes helfen. Menschen mit geringer Selbstwirksamkeit neigen dazu, Aufgaben für schwieriger zu halten als Menschen mit höherer Selbstwirksamkeit. Leite den Klienten dazu an, über seine Stärken, Fähigkeiten und Erfolge in ähnlichen Situationen zu sprechen, um seine Selbstwirksamkeit zu stärken und ihn der Verhaltensänderung einen Schritt näher zu bringen.;
change;motivieren;Reason;need;Exploring Goals and Values;Question;Often there is discrepancy between a client’s values and lifestyle choices. For example, a client may say that he values good health and has a goal of preventing a second heart attack. He may also mention that he hasn’t been exercising at all in the last month. By asking a well-formed open-ended question to find out what’s important to your client, you can invite him to explore possible discrepancies between goals, values, and behavior.;Häufig besteht eine Diskrepanz zwischen den Werten eines Klienten und seinen Lebensstilentscheidungen. Ein Klient kann zum Beispiel sagen, dass ihm seine Gesundheit wichtig ist und er einen zweiten Herzinfarkt verhindern möchte. Er kann aber auch sagen, dass er im letzten Monat überhaupt keinen Sport getrieben hat. Indem Sie eine gut formulierte offene Frage stellen, um herauszufinden, was Ihrem Klienten wichtig ist, können Sie ihn auffordern, mögliche Diskrepanzen zwischen Zielen, Werten und Verhalten zu untersuchen.;Häufig besteht eine Diskrepanz zwischen den Werten einer Person und ihren Lebensstilentscheidungen. Indem du eine gut formulierte offene Frage stellst, um herauszufinden, was deinem Klienten wichtig ist, kannst du ihn auffordern, mögliche Diskrepanzen zwischen Zielen, Werten und Verhalten zu untersuchen.;
change;motivieren;Reason;need;Looking Forward;Question;Another way to elicit change talk is to invite the client to consider a future where the behavior change has been made, or to consider a future where the behavior change has not been made. These questions encourage the client to visualize possible long term benefits of change.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, sich eine Zukunft vorzustellen, in der die Verhaltensänderung vollzogen wurde, oder eine Zukunft, in der die Verhaltensänderung nicht vollzogen wurde. Diese Fragen ermutigen den Klienten, sich mögliche langfristige Vorteile der Veränderung vorzustellen.;Eine weitere Möglichkeit, über Veränderungen zu sprechen, besteht darin, den Klienten aufzufordern, sich eine Zukunft vorzustellen, in der die Verhaltensänderung vollzogen wurde, oder eine Zukunft, in der die Verhaltensänderung nicht vollzogen wurde. Diese Fragen ermutigen den Klienten, sich mögliche langfristige Vorteile der Veränderung vorzustellen.;
change;motivieren;Reason;need;Elaboration;Question;"Once a reason for change has been named, it is often the counselor’s ten-
dency to move on and find others. It can be quite useful, however, to have the client elaborate on a topic before moving on. For one thing, it is a way of eliciting further change talk, and it helps reinforce the motivational theme.
There are several ways of eliciting elaboration once a reason for change has been raised. They include:
1. Asking for clarification: In what ways? How much? When? 2. Asking for a specific example. 3. Asking for a description of the last time this occurred. 4. Asking “What else?” within the change topic.";"Sobald ein Grund für eine Veränderung genannt wurde, neigt der Berater oft dazu, weiterzugehen und andere zu finden. Es kann jedoch sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor er weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das motivierende Thema zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";"Es kann sehr nützlich sein, den Klienten ein Thema weiter ausführen zu lassen, bevor es zum nächsten Thema weitergeht. Zum einen ist dies eine Möglichkeit, weitere Veränderungsgespräche anzuregen, und es hilft, das Change Talk zu verstärken. Es gibt mehrere Möglichkeiten, um einen Grund für eine Veränderung zur Sprache zu bringen. Dazu gehören: 1. Nachfragen zur Klärung: Auf welche Weise? Wie sehr? Wann? 2. Bitte um ein konkretes Beispiel. 3. Bitte um eine Beschreibung, wann dies das letzte Mal geschehen ist. 4. Die Frage ""Was noch?"" im Rahmen des Themas der Veränderung.";
change;motivieren;Reason;need;Undershooting;Reflection;An undershooting reflection might be used at times to encourage continued exploration. The undershooting reflection depreciates the intensity of the emotion expressed. Doing so may encourage the client to clarify what was meant which can deepen the client’s understanding of her feelings.;Eine unterschwellige Reflexion kann gelegentlich eingesetzt werden, um die weitere Erkundung zu fördern. Bei der unterschwelligen Reflexion wird die Intensität der ausgedrückten Emotion herabgesetzt. Dies kann die Klientin dazu ermutigen, zu klären, was gemeint war, was das Verständnis der Klientin für ihre Gefühle vertiefen kann.;Undershooting kann gelegentlich eingesetzt werden, um die weitere Erkundung zu fördern. Beim Undershooting wird die Intensität der ausgedrückten Emotion herabgesetzt. Dies kann den Klienten dazu ermutigen, zu klären, was gemeint war, was das Verständnis des Klienten für seine Gefühle vertiefen kann.;
change;motivieren;Reason;need;Amplified;Reflection;An amplified reflection involves reflecting back what the person has said in an exaggerated form. This technique may encourage the client to back off a bit or consider another side of personal ambivalence. It’s important to provide amplified reflections in an empathetic manner, free of sarcasm.;Bei einer verstärkten Reflexion wird das, was die Person gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, verstärkte Reflexionen auf einfühlsame Weise und ohne Sarkasmus zu geben.;Bei einer amplified reflection wird das, was der Klient gesagt hat, in übertriebener Form zurückgespiegelt. Diese Technik kann den Klienten ermutigen, sich ein wenig zurückzuhalten oder eine andere Seite der persönlichen Ambivalenz zu betrachten. Es ist wichtig, amplified reflections auf einfühlsame Weise und ohne Sarkasmus zu geben.;
change;motivieren;Reason;need;Emphasize Control;Other;When people perceive that their freedom of choice is being threatened, they tend to react by asserting their liberty. It is a common and natural reaction to a threatening loss of choice. Probably the best antidote for this reaction is to assure the person of what is surely the truth: in the end, it is the client who determines what happens.;Wenn Menschen ihre Entscheidungsfreiheit bedroht sehen, neigen sie dazu, ihre Freiheit einzufordern. Das ist eine übliche und natürliche Reaktion auf einen drohenden Verlust der Wahlfreiheit. Das wahrscheinlich beste Gegenmittel für diese Reaktion ist, der Person zu versichern, das sie es ist, die Entscheidet was passiert.;Wenn Menschen ihre Entscheidungsfreiheit bedroht sehen, neigen sie dazu, ihre Freiheit einzufordern. Das ist eine übliche und natürliche Reaktion auf einen drohenden Verlust der Wahlfreiheit. Das wahrscheinlich beste Gegenmittel für diese Reaktion ist, dem Klienten zu versichern, das er es ist, die Entscheidet was passiert.;
sustain;motivieren;Reason;need;Digging Deep;Question;"The term digging deep, sometimes referred to as unpacking, is necessary when a client makes a statement and you suspect there may ﻿be more to the story. In other words, ﻿you may need to spend some time ﻿probing to uncover pertinent
infor﻿mation about the client’s situation, feelings, and reactions. First, provide a reflection to the client’s statement to ensure that you understand the meaning of what was said. These reflections can be followed by open-ended questions to further explore the client’s meaning. ﻿Slow down and encourage the client to explore underlying issues.";"Der Begriff ""digging deep"", manchmal auch ""unpacking"" genannt, ist notwendig, wenn ein Klient eine Aussage macht und Sie vermuten, dass mehr dahinter steckt. Mit anderen Worten, Sie müssen möglicherweise einige Zeit damit verbringen, relevante Informationen über die Situation, Gefühle und Reaktionen der Klientin herauszufinden. Reflektieren Sie zunächst die Aussage des Klienten, um sicherzustellen, dass Sie die Bedeutung des Gesagten verstehen. An diese Überlegungen können sich offene Fragen anschließen, um die Bedeutung des Klienten weiter zu erforschen. ﻿Verlangsamen Sie das Gespräch und ermutigen Sie die Klientin, die zugrunde liegenden Themen zu erkunden.";„Digging Deep“ ist notwendig, wenn der Klient eine Aussage macht, bei der mehr dahinterstecken könnte. Damit können relevante Informationen über die Situation, Gefühle und Reaktionen des Gegenübers herausgefunden werden. Reflektiere zunächst die Aussage des Klienten um sicherzustellen, dass du die Bedeutung des Gesagten verstehst. Schließe daran eine offene Frage an, um die Bedeutung des Gesagten weiter zu erforschen. Ermutige den Klienten, die zugrunde liegenden Themen zu erkunden. ;
