,index,Sentence,labels
3556,3124," Es sieht keiner ob man 130 oder 140kg wiegt, die Klamotten sind schon so weit dass man da auch nichts merkt, und vom Feeling ist es auch nicht wirklich anders.",0
3378,2004, Aber dafür probiere ich am nächsten Tag bzw die nächsten Tage konsequenter zu sein.,1
4745,1936,Ich bin sehr glücklich mit dem Hammer.,0
5657,4297,"Das erste Interview, das abgestellt wird.",0
2525,2310," Doch seit dem geht es bei mir grammweise und ich frage mich, warum, was mache ich verkehrt, bin ich einfach zu blöd zum abnehmen oder geht es doch noch irgendwann weiter?",0
1727,438,"  Ich habe in 10 Jahren nichtmal geschafft 35 kg abzunehmen, und es zu halten.",0
3719,273," Ich hoffe für mich, daß mir Ähnliches gelingt.",0
890,775," Na schön; dass ich ""zu dünn"" bin, hab ich noch nie gehört und das hat mich schon gefreut    Mein Weg ist seit 3 Monaten eine Ernährungsumstellung, Medikamente wurden verändert und ich versuche täglich etwas Sport zu machen (Trampolin, Hanteln, Therabänder, Hometrainer und Bauchübungen).",1
2,3591," Ich weiß zwar was was hat und wie viel ich dann ca zu mir nehme, schreibe es aber nicht expliezit auf.",1
5465,2396,"Entzug ist die einzige normale Sache, die ich tue.",1
5729,220,Mir ist im Sport sehr kalt.,1
1779,3772,"   Ich habe wahrscheinlich nur Ansätze von Binge Eating, weil ich nicht unbedingt große Mengen in kurzer Zeit esse, aber ich esse manchmal abends über mehrere Stunden ständig vor mich hin.",1
287,2689," Was ich mir hingefuttert habe, muss auch wieder weg.",0
1133,4302," Damit hätte ich mich abfinden können, wenn sonst nur Pro-Argumente auf meiner Liste stehen würden, aber ich wäre auch nicht böse, wenn das nicht so ist.",0
954,1039, Wie jetzt noch versuchen abzunehmen?,0
5560,7,Was soll ich für meine Familie tun?,0
2016,607,"  Tja, wenn ich das so einfach könnte mit der Ernährungsumstellung hätte ich es natürlich gemacht.",0
1056,4541, Denn es soll nun wieder runter gehen.,0
2324,3052," Trotzdem ist mein Essverhalten bis heute nicht als ""normal"" zu bezeichnen und bei starken psychischen Belastungen falle ich wieder in mein altes Verhalten zurück.",0
4922,2880,Ich bin sehr stolz darauf.,0
1283,900,"  mir fällt auch keine einzige Strategie ein, wie ich diese Essattacken unter Kontrolle bekommen sollte.",0
4155,3667,"Es ist möglich, es geschehen zu lassen.",0
3145,3442," Und ich habe Tage an denen ich so ungeduldig bin, da möchte ich mich am liebsten sofort operieren lassen um ganz schnell ganz dünn zu sein.",0
4727,591,Weißt du das?,0
5061,543,Es gibt zwei in der Küche und eine am Schreibtisch im Wohnzimmer.,1
2262,551," Es ist dann eine kleine Pizza, die nur mit Spinat, Champions, Brokkoli oder Paprika belegt ist.",1
2165,1093,"  Hi Kiwi,  Nun ich möchte auch ohne Op abnehmen, einfach weil ich nicht möchte das im ""Arbeitssystem"" meines körpers nicht rumgebastelt wird.",0
4578,4261,"Wird versuchen, mäßig und stetig zu sinken.",2
4889,3374,Ich komme zu ihm.,2
19,583,  So der erste Tag wäre geschafft.,1
5207,952,Das ist eine Herausforderung.,0
4210,2091,"Ich glaube nicht, dass das stimmt...",0
5264,1373,"Das ist es, was es sein soll.",2
62,679,Wenn es dann noch weiter abwärts gehen sollte..,0
2677,2007," Ich habe akzeptiert, dass ich nie ein Normalesser sein werde.",1
125,1073,  daher ist ein Tag am WE eines meiner Refeed-Days...,1
797,1174,"   trotz all den, dass man behauptet, dass son Gewichtsstillstand ja auch was positives sei, angeblich ordnet der Körper sich neu ein, auf einen neuen Grundumsatz etc aber mich nervt es manchmal einfach nur noch..",0
3388,144, Aber ich schaffe das!,0
3875,3357,"Nichts ist falsch, das ist alles.",0
1356,465," die nächsten 4 Wochen will ich dran arbeiten diese Zahl unter 120 zu stabilisieren und dann kann es in Angriff genommen werden unter115 zu werden    trotz meiner Freude , erwischte ich kurze Zeit Panik in mir...",2
3057,4301,"   - ich finde den Gedanken irgendwie auch eigenartig, dass der Rest stillgelegt wird und drin bleibt.",0
4696,2252,Jemand will es nicht.,0
1181,3349, Sie erfordert aber tägliche Achtsamkeit!,0
2537,4241, Aber ich habe beide Wege ohne Bus oder Taxi geschafft.,1
5309,2565,Mein Sohn ist ein Miststück und ich muss gegen ihn kämpfen.,0
375,3955," Heute mache ich mir wieder 1,5 Liter Zitronenwasser (ohne jeglichen Zucker oder Zuckerersatz - einfach pur).",2
230,3428,  Wieder einige Wochen vergangen… Inzwischen habe ich wieder mein Ausgangsgewicht…so um die 145 kg rum.,0
1072,3245,"   Die Zeit ist einfach zu lange bis 23 Uhr, wenn ich ins Bett gehe.",0
2460,3628," Da mein Mann vom Diabetologen auch wegen seiner Fettleber eine Empfehlung bekam mal das ""Leberfasten"" zu machen, und dieses laut Beschreibung insgesamt sinnvoll und machbar für mich erschien (erinnert mich sehr an die Eiweißphase vor meiner MAgen-OP), haben wir uns das vorgenommen.",1
3247,378,"  ich versuchte diese Gedanken zu verdrängen, war am Endeffekt doch ziemlich machtlos und schon war ich auf den Weg zu Kaisers mit der Absicht mich mit Kuchen vollzustopfen...",1
5094,3596,Es gibt nur einen Weg.,0
3233,4462,"  Also habe ich mir nun ganz fest vorgenommen, jeden Tag 1 Stunde lang raus zu gehen und zu lauen.",2
4339,461,Ich starte auf konventionelle Weise.,1
4167,1191,Unheilvolles Geschwätz...,1
759,1625,"und aufhören,wenn ich satt bin.",2
2237,3992, Aber Tees kann ich (noch) nicht ohne Zucker/Honig trinken.,0
5601,4420,Das konnte ich vorher nicht.,0
5517,2670,Ich habe keinen eigenen Magen.,0
869,3637,  Traurige Bilanz: aktuell knapp 68 kg - au weia.,0
347,209,"   Danke für Deine lieben Worte:-) Momentan kämpfe ich ziemlich mit dem Halten, seit Ostern und einem kleinen Kurzurlaub ist es etwas streng.",0
5154,1022,Langsam konsumieren...,1
4468,2154,"Ich drehte mich um und ging dorthin zurück, wo ich anfing.",1
5265,4424,Der Rgaster wird jeden Tag verwendet.,1
2519,3635," Momentan genieße ich, dass ich es wieder schaffe mich an 3-4 Mahlzeiten - ohne das grasen dazwischen - zu halten und keine Gelüste auf Schoki und  co zu haben.",0
3367,2480," Momentan geht es mir darum wirklich soooo unendlich schlecht, ich kann mich zu nichts aufraffen.",0
1384,4418," Gehirnjogging in Form von Rätseln oder auch ""Daddelspiele"" am PC, die zwar nicht schwer sind, aber die Aufmerksamkeit fordern.",1
2451,2830," Schmerzbedingt (Rücken und Knie) kann ich mich im Moment kaum bewegen, schon den Alltag zu bewältigen kostet mich ziemlich Kraft und Schweiß (und Medikamente), erkältet habe ich mich gestern auch und die Hitze, Schlafmangel + Frust tun ihr übriges dazu.",0
4148,3667,"Es ist möglich, es geschehen zu lassen.",0
283,610, Ich will ja nicht nur wegen dem Shirt abnehmen.,0
3883,3805,Ich musste mich jeden Tag hinlegen.,0
5373,4559,Es sollte nicht so schwer sein.,0
2141,127, Ich will nicht stillsitzen und nix tun.,0
2468,3162,  Sie weiß das ich einen Antrag auf op stelle und erwartet halt Sachen von mir die in meinen Augen fast unmöglich sind.,0
5015,617,Es war sehr gut passend.,0
2656,2644,   Mein Dicksein habe ich mir lange genug schön geredet…jetzt ist Schluss damit.,2
2689,2627," Und wenn ich keinen habe, habe ich auch keine Lust zu essen.",0
586,3660, Ich habe mich für einen Aqua- Kurs für Adipöse angemeldet.,1
2852,1986,   habe heut fast in der ganzen Pfalz alle Psyochologen angerufen und alle sagten mir vor 11 monaten bis gut 1einhalb jahr ist kein therapie platz zu bekommen !,1
71,953,aber das resultat nach der einen Woche kann sich dann echt sehen lassen :-) Ich war Montag bei meinem Arzt gewesen..,0
1635,4296," Sammle aber weiter Pro und Contra für meine Liste, nehme ich dann mit zum Gespräch.",1
513,3864, Es muss gehen.,0
1600,1335,      dünner werden ist nicht unbedingt ein garant für gesünder sein...,0
3520,2611, Ich hab am nächsten Dienstag meinen OP Termin zum Bypass & ich freue mich!,2
10,721,auch wenn mir 5 lieber wären   ich habe gestern mein Gegessenes aufgeschrieben...,1
2243,4272,"  Kalorien aufschreiben ist hilfreich, damit ich Kontrolle habe, an welchen Tagen noch was geht und wann eher nicht.",0
1768,812,"ich will einfach nebenbei drei-fünfmal am tag kleine gesunde mengen essen,und pasta.....",0
5225,1704,Sie hatten einen Anfall.,1
5405,28,"Zeig mir, wie man meinen Krepr benutzt!",0
3926,1009,888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-270-6611 888-270-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611-6611-6611 888-270-6611-6611-888-270-66-66-66-6611-66-868-,0
4689,4132,Das ist wirklich schwer.,0
3183,135," Kann ich locker verzichten, aber nicht wenn mein Mann und meine Kides nebendrann sitzen und schleckern.",0
3359,2442, Auch wenn es für mich Stress ist (ich fahre jeden Montag 230 km) aber das ist es sowas von wert.,0
1361,2062,"  hab jetzt 42 kilo weg und stehe seid längerem darauf,was auch völlig in ordnung ist.",0
2050,2653, ich Koche frisch und halte mich an meine Mahlzeiten.,1
3685,2713,") runter sind, wird es auch wieder leichter mit Ausdauersport, bedeutet, dann würde sich auch was am Grundumsatz ändern.",0
5772,1805,Und dann danach essen.,0
161,3904, Auf das Eiweiss achte ich ab sofort auch.,2
3066,2726, brauch ich täglich..,0
2906,3070, Hat sich doch gelohnt.,0
5440,4566,Es wird keine Zunahme mehr geben.,0
3925,1009,888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-270-6611 888-270-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611 888-270-6611-6611-6611 888-270-6611-6611-888-270-66-66-66-6611-66-868-,0
4242,1590,Ich bin nicht so schlecht ohne ihn.,0
2175,4691," ________________________________________________________________________________________________________________________________  Seit 2015 steigt mein Gewicht immer und immer mehr an, ich bin fast immer müde und erschöpft (Blutwerte sind in Ordnung), liege deswegen oft im Bett, habe negative Gedanken, Selbstzweifel, Svv Gedanken und teilweise Ausführungen, sozialer Rückzug, Essanfälle und habe das Gefühl körperlich und psychisch immer mehr zu verwahrlosen.",0
3573,4586," Also nicht über die halbe Tafel Schokolade schimpfen, sondern mich freuen, dass es keine ganze war.",1
2962,836,  ganz mißerabel seit ich den ganzen tag in der schule hocke geht das gewicht wieder hoch...,0
1395,3531," Meine knapp bemessene Freizeit so zu nutzen, dass es mir gut tut.",0
3156,1876,"meine Hauptnahrungsmittel waren Thunfisch, Körniger Käse ,Kohlrabi und zwei Eiweiß vom Ei....",1
3364,4131, Alles wieder drauf plus Extrakilos.,0
2865,1057," Bist fett, bleibst fett, stirbst fett.",0
2632,1697,"  geh ich morgen das erste mal mit meiner sis hin,bin mal gespannt.",2
1953,1195,meist bleibt was übrig und Pizza ist vielleicht einmal in 3 Monaten drin..,1
2139,2989," Wenn keine Schoki da ist ,  kann ich die auch nicht essen.",0
3029,1596, es macht mir Spaß mich anzusehen.,0
1506,961,"  Gibt dennoch ab und an Tage, wo ich mir einfach mal 1 oder doch 2 Stück Kuchen gönne..",1
4163,1083,Die Leute machen es mir leicht.,0
459,3276," Für mich habe ich entschieden, weiterhin Getreide zu ersetzen, keinen Zucker mehr zu verwenden und meine Lieblingslebensmittel so zu kochen, dass es mir schmeckt.",2
1463,1910," mmhhh, dann fragte ich wie ich das schmerzfrei machen solle und ob sie denn die atteste vom orthopäden vergessen hat, das bei weiteren sportarten die sie aufzählte eine deutliche verschlimmerung kommt.",0
2788,4655," Schlauchmagen kommt wegen Reflux eher nicht in Frage, bleibt nur der Magenbypass, und da muss man am Darm rumschneiden.",0
1239,1594,"  Ich stelle mit Schrecken fest,das ich bald 20 Kg abgenommen habe und finde das enorm,dafür das ich mich so wenig quälen muß, war es doch bisher immer quälerei.",0
2246,3600, Hatte gedacht zugenommen zu haben und das es nun doch 100 g weniger sind freut mich sehr.,0
5720,242,"Dies ist ein Weg der ""zersetzen.",1
5020,1032,Ich werde es ausschalten.,1
217,1780,ein MInus wäre mir trotzdem lieber.,0
4924,3023,Ich bin nicht in der Gegend.,0
1950,411,"  Ich habe aus der Situation gelernt, ich werde beim nächsten Mal auf jeden Fall anders handeln.....",2
4076,347,"Meine Skala hat gezeigt, was ich will.",1
2332,3613," in den letzten Wochen habe ich festgestellt, dass ich vom Auto zum Hallenbad hoch (nur wenige Treppen) schon ausser Atem komme.",0
2624,4331, Bis zum nächsten Arzttermin in drei Wochen möchte ich nochmals 1-2 Kilos abnehmen.,0
779,1459, Ich essen will wenn ich Hunger habe und fertig.,0
2621,3993, habe jetzt mit drei verschiedenen Rechnern meinen Grundumsatz (BMR) und Leistungsumsatz (TDEE) berechnet und werde aus allen 3 Rechnern einen Mittelwert nehmen.,1
3223,2704, Ich versuche mich hier zu motivieren oder motivieren zu lassen.,1
3340,225,"  Nico ich gönne mir ja regelmässig etwas und mache eh shcon sehr viel Sport, das ist nicht das Problem.",1
4864,1112,"Ich glaube nicht, dass du das kannst!",0
5068,2510,"Ich werde versuchen zu hören, was du zu sagen hast.",2
1065,1545, Nehm ich jetzt wieder alles zu?,0
5678,1340,Ich weiß das schon eine Weile.,1
5299,4044,"Ich werde sie gehen lassen, wenn sie nichts zu trinken haben.",2
4443,1151,Immer kleiner werden.,0
5167,598,"Ich habe das Gefühl, dass ich Hilfe bekomme.",0
659,1578, zwangsläufig ist es nämlich doch Kampf.,0
1724,200,das kann man ändern...,0
3717,125," Und damit ich im Hochsommer nicht denke, hättest du doch gut was gemacht, starte ich einen neuen Versuch!",0
2485,1906," hab gut an mir gearbeitet und die kilos die da gehen,brauch ich net mehr.",0
2190,791,"      och, :) ne ne, mit der Glatze dauert es noch, aber der eine Ziel - 115 kg- ist nun geknackt worden, und bis mitte September will ich die nächste Gewichtsmarke von 110 KG geknackt haben ;)",0
3203,2495," Es ist einfach toll, den zweiten Bissen Dessert nicht mehr zu brauchen, aber von dem einen einfach so zufrieden zu sein, als hätte ich das ganze verputzt.",0
4254,2965,Ich hatte eine Meinung dazu.,0
3957,4145,Es macht mir nichts aus.,0
2491,2832, Gestern habe ich einen Käsekuchen gebacken und der musste weg.,1
2745,1427," Also das Motto,hoch den Hintern und Gas geben.",2
1936,1772, Hauptsache es bewegt sich was...,0
1177,3726,"  Also im Grunde wissen ""wir Dicken"" doch alle das wir uns falsch ernähren, da braucht man keine Tussi mit Konfektionsgrösse 38 die einem erzählt mehr Sport weniger Kalorien usw Das hat mich auch total genervt Leider war die Ernährungsberatung teil meiner OP Vorbereitung und musste mir das anhören - gebracht hat es wirklich nix, da ich ja bereits von Atkins- bis Weight Watchers alle Diäten durch hatte.",0
5392,2869,"Wenn Sie etwas aufgegeben haben, ist es am Ende nicht schwierig.",0
1036,1854,Das deppremiert mich ganz schön.,0
1534,1755," ;):  war immer so frustrierend, wenn ich abends was esse und morgens ein Kilo mehr wiege als am Vortag...",0
4033,1941,Externe Links werden referenziert.,1
34,2817," Ich möchte es auch unbedingt ohne OP schaffen, hatte zwar ein anderes Ausgangsgewicht aber ich will es nur langsam.",0
316,2423,Seid dem Ich mich erstmal abstand von der OP genommen habe geht es mir jedenfall im moment besser.,0
3583,762,Ich verspüre keinen Hunger.,0
4093,3864,Es muss abgeschlossen werden.,0
2232,3406," Und wenn ich mir überlege, wie ich mal aussehe, wenn ich das alles abgenommen habe, was ich mir vorgenommen habe.",0
2109,3425," Vor allem, ich bin soweit noch gesund!!!!",0
1173,4057,"  Nach vielen nicht zu Ende geführten Abnehm Versuchen, auch genannt""Diäten die nicht klappten"" hörte ich  auf mir zu wünschen schlank zu sein, sondern wollte es einfach.",1
2478,4439," Treppensteigen, Kniebeugen, Kraftsport...",1
4057,2037,INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals INRDeals,1
1598,481,"  und sobald man diese gefunden hat, geht das Kilos verlieren von allein und ehrlich gesagt, nicht mal so schwer.....",0
4481,3679,Ich bin wieder in der Schule.,1
4376,3192,Die heutigen Scale-Shows werden 2 Stunden Sport sein.,2
447,4012, Aber inzwischen trinke ich eben auch viel Tee - so 4-5 Tassen werden es schon pro Tag.,1
2126,1668," Da sieht man mal,wie wenig sicher man sich sein kann,jetzt alles unter Kontrolle zu haben.",0
2066,2045,"  Es hat mich nicht gereizt auch nur einmal das ganze zu benutzen um mich wegzumachen,  ich denke jetzt weiß ich es sicher.",0
5259,4236,Und es wird den Job machen.,0
1004,4347, Jetzt gehe ich bald zu meiner HÄ und lasse mir eine Verordnung für die  Physio geben.,2
2145,2556,ist zwar sehr schwer aber seid Weihnachten habe ich mein Essen umgestellt und habe nichts mehr an Naschereien  gekauft .....,1
4986,4262,Der Rückgang ist hart.,0
301,3225, Schon alles eingekauft...,1
3631,1350,"  Sollte ich wieder zugenommen haben, werde ich meine Ziele in Zusammenarbeit mit meiner Therapeutin neu definieren müssen.",2
4416,1857,Da ist etwas Seltsames auf der Skala.,0
2292,3773," Ich muss das eine  haben, dann das andere, dann nochmal was anderes und dann wieder was von dem ersten.",1
3492,4337, Jetzt fängt der Kampf also wieder von vorne los.,0
3170,2399,  Danke Fürs Mut machen  Aber mir reichts habe 5kg zugenommen .,0
4250,3387,Und es weist darauf hin.,0
2482,1714, ich muß die entscheidung treffen und kann nichts mehr auf früher schieben.,0
5422,102,"Es ist gut, einen neuen bei hm zu haben.",0
681,3099," Meine Operateurin wollte mir einen Bypass umbauen, aber den lehne ich kategorisch ab, denn es bringt rein gar nichts, wenn man nicht sein Essverhalten ändert.",0
2763,2853,  Seitdem ich mich nun körperlich nur noch recht eingeschränkt bewegen kann habe ich noch mehr zugenommen.,0
2822,3121," In der Tagesbilanz passt das auch rein, denn ich führe weiterhin Ernährungstagebuch.",1
3634,2345, denn trotz 28kg Abnahme bin ich für Sport eigentlich noch zu fett...,0
5472,3854,Das ist das Einfachste für mich.,0
1884,2437, Und genau dass mach ich dieses Jahr auch.,2
4941,3971,Das ist der Weg zum Reisen.,0
3167,1952, Ich will einfach wieder normal und vor allem gesund sein ,0
4113,2638,"Das ist, wo die Parenting-Effekt nicht zurück.",0
2855,641,  vielleicht ist meine Abnehmmüdigkeit ein gutes Zeichen..,0
3402,4687," Nichtsdestotrotz halte ich es für sinnvoll, um den Überblick zu haben, wieviel man so im Lauf des Tages zu sich nimmt.",0
1818,1369,"beschäftige,sorge ich dafür,das ich mich um etwas anderes nicht kümmern kann.",0
970,4590," Ist aber nicht so einfach, weil ganz neu.",0
2638,1301,"   Auf dem Rückweg (dies wr gestern Abend) sind mir viele Gedanken durch den Kopf gegangen, das ich mit Ernährungsberatung, Aufbau und Inhalt der Nahrung usw usw noch NIE etwas am Hut hatte.",0
1520,723,"  da ich ja auch gestern 120 Minuten Sport hatte, und 60 davon Spinning, wo man eh angeblich bis zu 1000 kal verbrennt....",1
5749,986,Ich mag keine Orte.,0
314,1856,   Und das Aufbautraining geht auch sehr gut.,1
3535,4083," Ohne grossartigen Erfolg, aber ich habe auch nicht zugenommen und das ist momentan mein grosses Ziel.",0
3461,878," Ich habe dieses Problem seit 2 Monaten und habe noch nicht genügend Zeit/Nerv gehabt, alles richtig umzusetzen.",0
951,2795," Ich neige dann gern dazu alles schleifen zu lassen, nach dem Motto bringt ja eh nix.",0
1174,2585, zu Hause hätten sie das nie geschafft (genauso wie ich es auch zu Hause alleine nicht schaffe) ....,0
4263,1200,"Du hast es trainiert, oder?",0
5080,587,Ich habe immer noch Hunger.,0
3327,147, Ich habe nämlich überhaupt keine Lust auf totalen Verzicht!,0
4661,2723,Und das war's.,1
536,3490," Ich hoffe, es bleibt so.",0
789,1590, Es geht mir immer noch besser ohne KH.,0
3050,1075,"  ach Elisabeth, was soll ich schreiben/sagen, du hast ja sooowas von Recht   Ich will JETZT mit meiner kleinen Familie leben!!!",0
1701,48," Ich habe Schwierigkeiten beim Ein-und Aussteigen in und aus der Badewanne, aufgrund der Schmerzen in den Knien.",0
2259,4050, War noch kurz einkaufen und bin trotz Schlappheit nach Hause gelaufen und  habe 10 Franken Taxi-Geld gespart.,1
1016,1038, Irgendwann hat er doch wieder gewonnen!,0
5345,4711,Es fühlt sich einfach nicht richtig an.,0
4448,4458,Ich bin ziemlich im Einklang damit.,1
1143,2935,"  Zum ersten Mal habe ich Zeit, mich so zu ernähren, wie ich will.",0
3395,153,"   Dann hab ich jeden Samstag Mittag geschlemmt was immer ich Lust hatte, meistens Chinese:-) Mit fast keiner Ausnahme.",1
2955,2342, Minimale Abnahme am Unterbauch...,0
5268,99,Der Cookie kann heute nicht übergeben werden.,0
4677,612,Ich laufe langsam.,0
1677,2341, Nach den Maßen zu urteilen habe ich immer noch eine Grösse 60.,0
1651,4355, Auch mal nur ein Süppchen oder ein Schnittchen.,1
3103,4466,"  Ja, das ist super - war heute wieder eine Stunde unterwegs.",1
5107,4151,"Es gibt ein Protokoll, das ich bis heute vorlegen kann.",1
2808,229, Und trotzdem müssen wir was tun!!!,0
1554,22," hört man mir Mittelchen und Hypnosen auf, dann ist eine erneute Gewichtszunahme wohl fast vorprogrammiert.",0
294,399,"  Natürlich war es nicht genug, und ich fing auch den anderen Muskel-Aufbau intensiver an...",1
3448,2003," Und natürlich achte ich darauf, dass der Aufschnitt bzw der Käse fettreduziert ist und die Portionen nicht allzu groß ausfallen.",1
4217,1103,"Danke, ich muss irgendwann müde werden.",2
114,2483," Ich lese zwar immer von Ernährungsumstellung, aber wie das Praktisch umgesetzt wird, weiß ich auch nicht richtig.",0
3173,3215,los geht es!,2
1320,727,Nuja Kopf hängen lassen bringt jetzt nix....,0
5598,2647,Ich will es nicht fragen.,0
2132,2881,  Mir fehlt die Bewegung...,0
4731,591,Weißt du das?,0
532,2636," Da passt schon wieder eine halbe Tüte, langsam so ganz nebenbei am PC geknabbert.",1
2690,1373, Und wenn es denn so sein soll auch ohne OP.,2
4429,1521,Du solltest gehen.,2
3408,3113," Ich bin mehr als Vollzeit berufstätig, bin 4-5x die Woche im Sport, bin generell viel unterwegs, gehe mit Freunden weg, gehe meinen Hobbies nach - noch mehr nicht zuhause kann ich meinen Kindern nicht antun...",0
3578,3815," Mein Essverhalten ist definitiv gestört und aus der Reha wurde ich ua mit der Diagnose ""atypische Essstörung"" entlassen.",0
4030,1941,Es gibt externe Links.,1
5533,2403,Ich war mit einer Person unterwegs.,0
864,2027, Das läßt sich eigentlich ganz gut händeln.,0
964,1334,"nein, dann lieber kaputter Bauch, als dieses ekelhafte Gefühl fett zu sein...",0
503,3797," Mittlerweile habe ich nämlich diese mütterliche Komponente in meiner Psyche übernommen und bin es selbst, die sich die härtesten Verbote auferlegt und sich die größten Standpauken hält.",0
3514,2775," Vielleicht ein oder zwei Mal die Woche und dann gehe ich sofort spazieren mit Benji oder mache was anderes, was mich gut ablenkt.",1
3225,2670, Bauch habe ich keinen...,0
4209,2091,"Ich glaube nicht, dass das stimmt.",0
3100,211," Ich lass ihn aber nicht gewinnen, das darf nicht passieren, phu.",0
210,2049,"  wir dürfen doch die Augen nicht verschließen, dass Völlerei nun mal Speck auf die Rippen mit sich bringt..",0
2777,747, Ich bin völlig ungestresst weil ich im Kopf nicht auf Diät bin.,0
4073,2518,Ein Arzt kommt zu mir.,2
3280,2190," Am Sonntag habe ich wieder ganz ""normal"" gegessen - nicht weniger als sonst, aber auch nicht mehr - Montagmorgen war das 1 kg wieder weg.",1
2646,3504," Noch ein bisschen, aber viel sollte nicht mehr weg...",0
2840,4473," Nehme einfach nicht mehr so gut ab, wie in den ersten zwei Wochen.",0
5388,3186,Ich kann nur ein paar Kilo verlieren.,0
4636,2351,"Ich bin getröstet von der Tatsache, dass ich den schönen Anblick nicht verschenkt habe...",0
5604,4420,Ich konnte es vorher nicht tun.,0
1217,3461, Ich habe mir fest vorgenommen euch erhalten zu bleiben   und keine alten Verhaltensmuster mehr zu zulassen.,2
3552,3098,"  Hallo,  ich kann dir sagen, dass man auf jeden Fall seine Esssucht besiegen kann, wenn man nur wirklich will!",0
862,2381, Aber irgendwann habe ich mir gesagt dass es dass nicht wert ist mich verrückt zu machen und habe alles runtergefahren.,1
4089,3864,Es muss fertig sein.,0
415,735,"Wenn die ersten 20 Kilo runter sind,kann ich vielleicht auch Sport an Land machen.",0
3284,2242," Ich habe gelernt, wo meine Schwächen liegen, woraus mein Heißhunger resultiert und wann das der Fall ist.",1
4658,2723,Und hat gerade erst angefangen.,1
4478,837,Es ist echt für Mäuse.,0
4993,126,"Ich weiß nicht, du reizst mich nur mit deinen Reduktionen.",0
2333,58," Ich sehne mich nach sportlicher Betätigung, einem  Leben mit weniger Schmerzen, mehr Leistungsstärke, ohne Hohn und Spott aus der Gesellschaft und vor allem mit einem Sättigungsgefühl, um das Essen aus dem Mittelpunkt meines Lebens zu verbannen.",0
1327,2464," Wenn wir aber einen außergewöhnlichen Vorgang haben, der uns stört oder in welcher Form auch immer Probleme bereitet, muss der Grund dafür gesucht werden.",0
3101,158,   Fressattaken hatte ich auch ab und zu und auch jetzt beim Halten immer mal wieder.,1
1073,470,"  Hallo, also ich mache seit mehr als 2 Jahren eine Therapie und es war eine der besten Entscheidungen in meinem Leben.",1
3318,3972,"  Ich habe einfach darauf geachtet, dass ich Fette und Kohlenhydrate etwas reduziere und mehr Gemüse esse.",1
467,932,"  bewegung hab ich genug, hab 2 hunde, die fordern mich herraus und einen kleinen sohn, der sehr gerne fahrrad fährt, lebe auf dem land..",0
3968,3598,Ich habe immer ein Leckerbissen bekommen.,1
1658,3868, Vielleicht Joghurts oder einen Apfel oder Apfelmus.,2
4114,4476,Ich gebe nicht auf.,2
2138,1554, Andererseits sitze ich dadurch sehr viel am PC oder schlafe.,1
4299,2015,"Ich glaube nicht, dass ich mich mehr sehnen werde.",0
1260,1380," Ein neuer Versuch ist auf jedenfall wert, grade jetzt im Sommer wo es so heiß ist und man sowieso kaum Lust hat zu essen.",0
3218,2176," Umso schwerer fällt es mir dann ""richtig"" (bei mir wirkt: Abends ab 17 Uhr nichts mehr essen bzw sehr wenig (keine Kohlenhydrahte) zu essen...",0
3028,4600," Aber noch bin ich kein UHU, aber wenn es so weiter geht, schaffe ich das bald.",0
32,579, :( :( Aber diesmal habe ich ein Ziel.,0
3266,2554,"  Ich hab dann beschlossen , ich muss selbst was an meinem Leben ändern .",0
456,2946, Bei meinem Übergewicht kommt nur Schwimmen und Radfahren in Frage...,0
5448,4566,Es gibt keine Erhöhung mehr.,0
51,895,  Chickenburger...,1
5427,102,"Ich liebe es, einen neuen bei hm zu haben.",0
