,Sentence,labels
2130," Ich weiß nicht, wie ich abnehmen kann.",0
20427, Ich bin zu dick.,0
22501, Ich will einfach nicht mehr so viel essen.,0
14878, Ich bin einfach zu faul um Sport zu treiben.,0
5286, Weil ich mich auf diese Weise wohler fühle.,0
22929, Ich möchte eine bessere Figur haben.,0
14560," Ich esse jetzt viel mehr Gemüse, frisches Obst und weniger Süßigkeiten.",1
17011, Ich bin einfach zu faul und habe keine Disziplin.,0
24773," Ich denke es wäre am leichtesten, wenn ich mehr Sport treiben würde.",0
17532, Ich bin zu faul und zu schwach.,0
25606, Ich möchte meine Essgewohnheiten ändern.,0
17988, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
8876," Ich kann nicht einfach so viel Sport treiben, das ist mir zu anstrengend.",0
10675, Wenn ich mich auf meine Ernährung konzentriere und nicht zu viel über das Ergebnis nachdenke.,0
3132, Ich werde mein Gewicht reduzieren.,2
17856, Ich werde mich an meinen Ernährungsplan halten und mich mehr bewegen.,2
17613," Ich möchte nicht mehr nur an ein bestimmtes Gewicht denken, sondern am gesündesten und leistungsfähigsten sein.",0
16645, Ich habe mich dann einfach mal für eine Weile ausgeruht und war dann wieder motiviert.,1
14009, Ich werde mehr Sport treiben.,2
19411," Ich habe aufgehört zu essen, wenn ich satt bin.",1
21848," Ich will abnehmen, weil ich immer wieder über mein Gewicht nachdenke.",0
5070," Ich könnte mir auch vorstellen, dass ich mehr Sport treiben würde.",0
3246, Hallo!,2
21652, Meine Familie ist mir auch sehr behilflich.,1
7948, Weil ich zu dick bin.,0
16325," Ich werde meine Gewohnheiten ändern und mich daran erinnern, dass es nicht nur um das Gewicht geht.",2
8866," Wenn ich eine Motivation habe, dann kann ich auch gesund abnehmen.",0
20833," Ich möchte mein Leben verändern und kann es nicht, weil ich keine Zeit habe.",0
6133," Was kannst du selbst tun, damit es mit der Kontrolle deines Gewichts doch klappt?",0
7153, Ich muss mehr Sport treiben und ich sollte aufhören zu essen.,0
17045," Ich weiß, dass ich einige dieser Nahrungsmittel brauche, um gesund zu bleiben.",0
20562, Ich möchte ein gesünderes und ausgewogenes Essen.,0
18819, Ich möchte das nicht mehr machen.,0
11732, Ich habe keine Zeit.,0
23341, Ich bin zu dick und fühle mich unwohl in meinem Körper.,0
20470," Ich habe einen langen Weg vor mir, bevor ich mich wieder wohl fühle.",0
22790, Ich könnte mehr Sport treiben.,0
20967,gesund-abnehmen.,0
3308, Ich möchte abnehmen.,2
4848, Ich könnte mich mehr bewegen.,0
1265, Ich will in einem Jahr um 25 Kg wiegen.,0
12315, Ich will einfach nur abnehmen und mein Gewicht halten.,0
3970, Ich will definitiv mein Gewicht halten.,0
7402, Ich fühle mich auch schöner und besser in meinem Körper.,0
2207, Ich habe zu viel Stress.,0
21349, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
2783, Ich muss einfach nur weniger essen.,0
23218, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
313, Ich möchte ein paar Pfund abnehmen.,0
21434, Aber dann musste ich immer mehr aufschnappen.,1
122, Ich möchte gerne mehr Sport machen.,0
8484, Ich möchte mehr Energie haben.,0
6477," Ich denke, ich kann mir vorstellen, dass es in Zukunft leichter für mich sein wird, meine Ernährung anzupassen und mehr Sport zu treiben.",1
8424, Mein Gewicht ist immer noch gleich.,1
12154, Ich habe meine Ernährung umgestellt und esse viel weniger Fleisch.,1
8310," Ich habe nicht zu viel gegessen, ich habe nicht getrunken und ich habe auch nicht geraucht.",1
21761," Das hat mich jetzt dazu bewogen, es nochmal zu versuchen.",1
12227," Ich möchte gerne eine schlanke Taille und einen flachen Bauch, die mir auch bei meinem Alltag helfen.",0
7179, Ich weiß es nicht.,0
25030, Ich kann mehr Obst und Gemüse essen.,0
22034, Ich möchte einen Kilo pro Woche abnehmen.,2
4234," Naja, ich esse nicht mehr so viel.",1
1022, Ich habe auch das Rauchen aufgegeben.,1
6519, Ich gehe jetzt mehr spazieren und esse weniger Süßigkeiten.,1
25252, Ich möchte meine Familie und Freunde nicht verlieren.,0
17579, Ich bin hier um dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
22616, Das war nicht schön.,0
22427, Ich werde nicht mehr an Alzheimer sterben.,0
13937, Und ich werde auch keine Süßigkeiten mehr essen.,2
24010," Was hast du bereits getan, um Systematik in die Verhaltensänderung zu bringen (zb Ernährungstagebuch, regelmäßiges Wiegen etc)?",1
19591, Ich will weniger Süßigkeiten essen.,0
16336," Was wirst du tun, um der Belastung bei gesünderen Essen standzuhalten?",2
1238, Ich will mein Idealgewicht.,0
23306, Ich will das ändern.,0
22469, Ich habe mehr Energie und ich habe mehr Lust auf Sport und andere Aktivitäten.,0
20860," Ach ja, ich weiß.",0
23223, Ich möchte mehr Spaß am Leben haben.,0
7570," Ich gehe mit meiner Frau auf die Tanzschule, das kann ich nicht mehr machen, wenn ich zu viel Gewicht habe.",0
2782, Du bist der Bergsteiger und ich bin der Berg.,0
15384," Als ich zehn war, habe ich angefangen, Diät zu machen.",0
8722, Ich muss mehr Sport machen.,0
1962, Ich will wieder gesund sein.,0
24516, Ich möchte das Essen nicht mehr als Mittel zur Belohnung nutzen.,0
7449," Ich freue mich darauf, weniger zu wiegen, weil ich mich dann besser fühlen werde.",0
10812," Zuerst war ich traurig, dass ich nicht gesund werde.",0
18534," Ihr könntet mich mit einer App unterstützen, die meine Ernährungsgewohnheiten und meinen Bewegungsverhalten aufzeichnet und mir dann empfiehlt, was ich essen sollte.",0
17884, Ich werde mein Essen durch Obst und Gemüse ersetzen.,2
7423," Ich freue mich darauf, weniger zu wiegen, weil ich mehr Energie haben will.",0
23456," Ich würde es wollen, weil ich mich nicht wohl in meinem Körper fühle.",0
14130, Das motiviert mich.,1
22619," Ich bin mir nicht sicher, ob ich mein Gewicht halten kann, wenn ich nicht etwas dagegen unternehme.",0
5256," Ich weiß, dass ich gesünder leben sollte.",0
14143, Ich habe in den letzten Wochen viel Sport gemacht und mir das Fasten beigebracht.,1
7555, Ich werde mehr Energie haben und besser auf mich selbst aufpassen.,0
14024," Ich habe mir auch vorgenommen, mir einen Sportplan zu erstellen.",1
22575," Ich bin davon überzeugt, dass ich ein gesünderes Gewicht haben möchte.",0
25429, Ich weiß es nicht.,0
484, Ich habe ein paar Kilo zugenommen und dann habe ich mich in die Spirale der Kalorienzählerei und des Hungerns hineingesteigert.,0
21412, Ich habe mich schon vor ein paar Jahren für eine Ernährungsumstellung entschieden.,1
25676," Ich möchte meinem Körper die gesündesten und frischesten Lebensmittel zu essen, damit er sich wohl fühlen kann.",0
2377, Ich bin zu dick.,0
20245, Ich möchte meine Essgewohnheiten verändern und mein Gewicht reduzieren.,0
12064," Ich habe mein Essverhalten umgestellt, indem ich viel Sport treibe und auf meine Ernährung achte.",1
4988, Hallo!,0
2419, Ich will nicht so dick sein!,0
9049, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
11991, Mein Essverhalten ändern?,1
16917," Ich treffe mich mit meinen Freunden, um zu reden und zu lachen.",1
6026," Aber dann war ich so müde, dass ich einfach wieder aufgehört habe.",0
3351, Zumindest drei Mahlzeiten am Tag einnehmen.,2
25602," Ich bin einfach immer so hungrig, und dann schlinge ich einfach immer alles in mich rein.",0
13835, Ich habe mir schon öfter vorgenommen abzunehmen und dann nach einigen Monaten wieder aufgehört.,0
14025," Ich habe meine Ernährung umgestellt, ich esse viel Obst und Gemüse.",1
8568, Ich bin ziemlich unzufrieden mit meinem Gewicht.,0
728, Ich habe meinen Körper verachtet und mich selbst dafür gehasst.,1
22798," Mehr Bewegung, weniger Süßigkeiten und mehr Obst und Gemüse essen.",0
4081," Ich esse nicht nach Lust und Laune, sondern nach Bedarf.",0
20085," Ich habe das Gefühl, dass ich mich gesund ernähren kann.",0
23475, A: Wie würdest du dich fühlen?,0
14129," Ich habe mir gestern einen neuen Kalender gekauft und die Tage, an denen ich abnehme, markiert.",1
24222," Ich habe ein Ernährungstagebuch, in dem ich täglich notiere, was ich esse.",1
13795," Ich habe schon versucht, das zu tun, als ich noch jünger war, aber es hat nicht funktioniert.",0
24306," Ich habe mich mit dem Thema ernährungsphysiologisch beschäftigt und versucht, mich vollwertig zu ernähren.",1
25876," Ich werde mein Essen auf eine Art und Weise zubereiten, die ich mag und es so viel ich möchte essen.",2
8729, Ich muss mehr Sport treiben.,0
14231," Dann war ich auch weniger hungrig, sodass ich weniger gegessen habe.",1
2390," Ich will einen Bauch haben, aber nicht so viel wie jetzt.",0
3056," Ich esse viel, trinke zu viel Alkohol und rauche zu viel.",0
6260, Ich habe vor ein paar Jahren den Body Mass Index (BMI) errechnet.,1
17448," Ich habe es mit anderen Diäten versucht und nicht den Erfolg gehabt, den ich mir erhofft hatte.",0
23410, Ich würds wollen weil ich ein schönes Leben haben will.,0
17270, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
20353, Ich möchte mein Gewicht reduzieren.,0
6259," Ich bezweifle, dass ich mit Diäten weiterkomme.",1
15512," Meine Ernährungsgewohnheiten sind schlecht, ich esse viel Süßes und esse nachts gerne einen Joghurt.",0
4250," Ich mache mir jetzt auch viel mehr Gedanken darüber, was ich esse und wie viel ich esse.",1
13091, Ich möchte meine Familie und Freunde um mich haben.,0
14195, Ich habe jeden Tag eine Tasse grünen Tee getrunken.,1
19259, Ich habe einige Diäten gemacht und aufgehört zu rauchen.,1
572, Ich möchte mein Gewicht verringern und mich gesünder ernähren.,2
8645, Hallo!,0
14889," Ich habe eine Phase, in der ich viel Sport treibe und dann wieder eine, in der ich gar nicht Sport mache.",0
4840," Ich habe mich in letzter Zeit dazu entschieden, mein Essverhalten zu kontrollieren.",0
7987, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
9801," Ich habe einen Ernährungsplan umgesetzt, der mehr frische Lebensmittel und weniger Fertigprodukte enthält.",1
21059," Einmal die Woche werde ich mich in einer Gruppe treffen, um eine Diät zu machen.",2
9507," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
6090," Ich möchte mehr Sport treiben, aber ich habe keine Zeit dafür.",0
7259," Ich habe es versucht, aber es funktioniert nicht.",0
18663," Ein gesundes Essen zu mir nehmen, das nicht zu viel Zucker enthält.",0
7744," Was brauchst du, um deine Vorfreude aktiv ein gesundes Essverhalten nutzen zu können?",0
22794, Ich kann sie aufschreiben und mir in den nächsten Tagen durchlesen.,0
23189," Es ist mir nicht wichtig, aber meine Frau sagt es mir immer wieder.",0
6095, Hallo!,0
6016, Ich kann mich auch an einen Plan halten.,0
5820, Hallo!,2
13136, Ich habe eine bessere Kontrolle über mein Leben.,0
5877, Ich möchte mehr Sport treiben und mich gesünder ernähren.,2
3449," Ja, ich bin bereit.",2
20318," Ich möchte meine Ernährung verändern, weil ich mich nicht wohl fühle und mir das Gewicht zu schaffen macht.",0
23962," Ich werde etwas essen, das ich mag und es mir gut gehen lassen.",2
12301, Ich wünsche mir einen flachen Bauch und schlanke Beine.,0
5130," Ich habe eine kleine, aber stetig wachsende Liste.",0
16635, Ich habe mich auf die Waage gestellt.,1
21249, Ich werde mehr Gemüse essen und weniger Süßes.,2
14274," Ich habe mich von komplexen Diäten verabschiedet, die zu schwer zu befolgen waren und habe mich für eine moderate Kalorienreduktion entschieden.",1
21012, Ich habe eine Liste davon gemacht.,0
24635, Ich will weniger essen und dabei gesünder essen.,0
8080, Ich möchte abnehmen.,0
6310, Ich habe mir einige Bücher über Ernährung und Bewegung gekauft.,1
20109," Ich bin geduldig, ich kann es mir leisten, Zeit zu haben und mich auf meine Ernährung zu konzentrieren.",0
17656, Und ich muss den Abnehmerfolg erleben.,0
3035, Ich muss mehr Sport machen.,0
2809, Ich würde es gerne einmal mit einer Diät versuchen.,0
9014," Was muss passieren, damit du mehr Erfolg beim Abnehmen hast?",0
21887, Ich will es einfach nicht mehr.,0
17823, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
563, Das ist mir wichtig.,2
15527, Und dann ist da noch meine Familie.,0
20163, Ich bin aufmerksam und ich kann meine Gefühle gut kontrollieren.,0
25601, Dass ich immer so viel essen muss.,0
14106," Ich will nicht aufgeben, das ist wichtig.",1
11663," Ich weiß nicht, wie ich es anfangen soll.",0
4201," Ich habe auch schon einige Lebensmittel aus meiner Küche entfernt, die ich lieber nicht essen wollte, aber ich weiß nicht, ob das wirklich etwas bringt.",1
5038, Ich würde gerne meine Ernährung umstellen.,0
3999, Ich bin ein ,0
17066," Ich habe schon so viele Diäten gemacht, aber nie etwas erreicht.",0
18622, Ich sehe mich zum Abendessen nach dem Zähneputzen und dem Zähneputzen in der Badewanne.,0
1749, Und dann muss ich mich auch nicht mit dem Essen herumquälen.,0
9959," Ich esse nicht mehr so viel Fleisch, verzichte auf Fast Food und trinke nur noch Wasser statt Limo oder Cola.",1
24424, Ich möchte meine Ernährung umstellen.,0
20633," Ich weiß nicht, wie ich das ändern kann.",0
21748, Das ist eine Vorbereitung.,1
21856," Ich bin auch nicht mehr so gesund wie früher, was einige Beschwerden mit sich gebracht hat.",0
17137," Ich habe Angst, dass ich nicht genug zu essen bekomme.",0
6074," Was kannst du selbst tun, damit es mit der Kontrolle deines Gewichts doch klappt?",0
21133, Ich habe drei Schritte vor mir: 1.,2
20920, Ich fühle mich so ungeschickt und ich kann nicht alles essen was ich will.,0
6305, Ich habe eine App benutzt.,1
1831," Ich könnte einfach essen, was ich will.",0
12, Und dann kommen da noch meine Essens-Angewohnheiten hinzu.,0
11903, Ich werde mich meiner Angst stellen.,2
4055, Ich bin ein ,0
16475," Welche Schritte werde ich einleiten, um weniger unter der Anstrengung des Abnehmens zu leiden?",2
22491, Ich möchte mein Leben verändern und ein besseres Gewicht haben.,0
7902," Ich habe Angst, dass ich zu viel esse und dann mein Gewicht nicht halten kann.",0
10296, Ich möchte mich bewegen und gesund leben.,0
12493," Ich möchte nicht zu viel auf meine Figur achten und einfach genießen, was ich esse.",0
23945," Ich werde meine Ernährung ausgewogen gestalten, mich regelmäßig bewegen und mein Gewicht kontrollieren.",2
12421, Ich will besser auf meine Ernährung achten.,0
12068, Aber ich bin immer wieder zurück gefallen.,1
16260, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
9596," Ich möchte aufhören zu essen, aber ich weiß nicht wie.",0
4215," Ich habe abgenommen, aber jetzt bin ich wieder auf dem alten Weg und esse mehr denn je.",1
2157, Ich esse zu viel und ich kann nicht abnehmen.,0
21420, Ich habe auch schon meine Ernährung umgestellt.,1
22448," Ich würde gerne so alt werden wie sie, aber ohne diese Krankheit.",0
7568," Ich werde mehr Energie haben, das Leben genießen und meine Familie und Freunde besser verstehen.",0
4178," Ich habe mich angewöhnt, nicht mehr zu essen, als ich wirklich brauche.",1
22135, Ich möchte mehr Zeit mit meiner Familie verbringen.,0
20793," Ich muss essen, was mir schmeckt.",0
16233, Ich brauche ein bisschen Unterstützung bei der Planung von meinem Speiseplan.,0
8833, Hallo!,0
10936," Es hat mich wütend gemacht, dass ich so viel Zeit und Energie in die Diät investieren musste und trotzdem keine Ergebnisse erzielt habe.",0
19312, Ich habe dann eine Weile gar nichts gemacht.,1
9007, Dann kann ich besser abnehmen.,0
16767, Ich habe dann einfach nichts mehr gegessen.,1
2806, Ich habe nicht mehr viel Zeit.,0
25226," Ich möchte mein Leben ändern, weil ich ein besserer ",0
1424," Ich wünsche mir, dass mein Körper gut aussieht und sich gut anfühlt.",0
12955, Ich hasse Sport.,0
25483, Ich möchte mein Gewicht halten und habe schon einige Erfahrung mit Diäten.,0
22193, Ich will gesünder leben und meine Gesundheit verbessern.,0
930, Ich bin jetzt regelmäßig in einem Fitnessstudio.,1
10738," In welcher Situation hattest du in der Vergangenheit Erfolg beim Abnehmen, obowhl du vorher Angst hattest zu versagen?",0
19314, Ich habe mehr Sport gemacht.,1
3997, Ich kann essen ohne zu wissen was ich esse.,0
22250," Ich möchte länger leben und auch mein Lebenswerk, das ich in den nächsten Jahren noch erreichen will, beenden können.",0
20039," Ich bin motiviert, gesund zu sein.",0
7015," Ich freue mich darauf, mehr Zeit mit meiner Familie zu verbringen.",0
25661," Ich möchte mehr Gemüse essen und weniger Fett, Zucker und Salz.",0
19626, Ich will weniger Zucker essen.,0
21311," Ich will mehr Sport treiben, um gesünder zu leben und ein paar Pfunde loszuwerden.",2
25755, Ich werde mein Verhalten bei Essen und Bewegung umstellen.,2
12376," Ich möchte mehr Zeit für die Dinge haben, die mir Spaß machen.",0
2135," Ich bin frustriert, dass ich nicht abnehme.",0
20634, Das Essen macht mich glücklich!,0
12312, Ich möchte eine schlanke Taille haben.,0
25577, Nach ein paar Tagen bin ich wieder bei meinem alten Essverhalten.,0
14649, Ich habe große Schwierigkeiten nach dem Essen aufzuhören.,0
21182, Ich werde mich an die Ernährungsrichtlinien halten und mich mehr bewegen.,2
3081, Ich muss mehr Sport treiben und weniger essen.,0
7023, Ich werde meine Gesundheit und mein Wohlbefinden verbessern.,0
10311, Ich möchte gesünder essen und dadurch mein Gewicht reduzieren.,0
24874," Ich möchte meinen Essgewohnheiten auf den Grund gehen und herausfinden, wie ich an ihnen arbeiten kann.",0
7725," Ich werde mich besser fühlen und mehr Energie haben, um meine Ziele zu erreichen.",0
4063, Ich kann auf meinem Weg zum Gewicht halten oder senken selbstständig bleiben.,0
25194, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
22021, Ich möchte mehr Obst und Gemüse essen.,2
106, Ich wünsche mir vor allem mehr Bewegung.,0
25238, Ich möchte gesünder leben und nicht mehr so viel essen.,0
23413," Ich würde abnehmen, weil ich nicht mehr so viel essen muss und ich dann auch nicht mehr so viel Geld für Essen ausgeben muss.",0
11353," ICH: Na ja, das ist doch gar nicht gut, oder?",0
19418," Ich möchte gesünder essen, aber ich weiß nicht wie.",0
10823," Ich habe mich immer schlecht gefühlt, weil ich das Gefühl hatte, ich hätte es nicht verdient zu gesunden.",0
16362," Ich werde mich daran erinnern, dass es nur eine Belastung ist, und ich sie überwinden kann.",2
24721, Was wünschst du dir für deine Ernährung?,0
2655, Ich möchte mich besser fühlen und gesünder leben.,0
646, Ich möchte abnehmen und mehr Sport machen.,2
4777, Ich möchte gerne weniger Süßigkeiten und mehr Obst essen.,0
8268, Ich möchte gerne mehr Sport machen und auch mehr Obst und Gemüse essen.,2
14445, Ich habe ein neues Wohngebiet gewählt.,1
25412, Ich möchte meine Gewichtsprobleme in den Griff bekommen und mich selbst besser fühlen.,0
9423, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
344," Ich habe kein Problem damit, mein Gewicht zu kontrollieren.",0
16090, Ich kann nicht einfach aufhören zu essen.,0
13833, Ich würde mich gerne bewusst ernähren.,0
25432," Ich wünschte, ich hätte mehr Energie.",0
14475," Mein Anteil war in den letzten drei Jahren, dass ich mehr Sport getrieben habe und weniger gegessen habe.",1
25893, Ich werde mich auch mehr bewegen.,2
21343, Welche Veränderungen an deiner Ernährung und bei der Bewegung planst du konkret in die Tat umzusetzen?,2
14181, Hallo!,1
15121, Ich habe einen Plan.,0
6924," Ich freue mich auf ein besseres Körpergefühl und darauf, wieder mehr Sport machen zu können.",0
3305," Ich werde aufhören zu essen, bis ich keinen Hunger mehr habe.",2
16084," Ich glaube, das ist ein Problem, das ich alleine lösen muss.",0
2351, Es ist zu viel.,0
1374, Ein gesünderes Gewicht.,0
10916, Ich habe mich verzweifelt gefühlt.,0
14093, Hallo!,1
24502," Ich möchte an meinem Essverhalten arbeiten, dass ich aufhöre zu essen, wenn ich satt bin.",0
24053, Außerdem wiege ich mich regelmäßig.,1
700, Ich habe verschiedene Diäten ausprobiert.,1
4049, Ich bin ein ,0
878, Ich habe begonnen meine Ernährung umzustellen.,1
23122, Ich möchte ein gesünderes Leben führen.,0
16559," Ich habe mir ein paar Ziele gesetzt, die ich erreichen will.",2
21437," Ich habe allerdings nicht das Gefühl, dass das so richtig funktioniert.",1
16672," Ich habe mich immer geschämt, wenn ich etwas zu essen haben wollte.",1
21157," Ich will ein gesünderes Leben führen, und ich habe meine Ernährung umgestellt.",2
2857, sehr dringend,0
8262, Ich werde auch Obst und Gemüse essen.,2
12903," Ich bin hier um Dir zu helfen, Dein Gewicht zu halten.",0
4241, Wie geht es dir?,1
24117," Ich habe schon einige Diäten gemacht, aber immer wieder das Gewicht wieder zugenommen.",1
25619, Ich habe es versucht und es ging nicht.,0
21937," Ich habe auch ein paar Fotos gemacht, die ich Dir gerne zeigen würde.",0
9375," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
21620, Ich habe die Zutaten für eine gesunde Mahlzeit gekauft.,1
637," Ich weiß, dass ich es schaffen kann.",2
7777," Ich würde gerne weniger Süßigkeiten essen, aber ich habe ein Problem damit, dass ich nicht genug Süßes esse.",0
12203," Ich habe mich an verschiedene Ernährungspläne gehalten, die mir in der Regel gut bekommen sind.",1
19810, Ich kann mehr Sport treiben.,0
11753, Ich möchte abnehmen.,0
11543, Ich habe zu viel Gewicht zugenommen und ich kann es nicht mehr allein schaffen.,0
15621, Ich möchte gern weniger essen und mehr Sport treiben.,0
8067, Ich bin nicht mehr glücklich mit meinem Körper und möchte abnehmen.,0
16189, Hallo!,0
19544," Ich bin bereit, mehr Obst und Gemüse zu essen.",0
10749," Ich habe in der Vergangenheit Erfolg gehabt, wenn ich meine Nahrungsmittel ganz genau kontrolliert habe.",0
409, Ich esse zu viel und bin zu faul zum Sport.,0
3368, Ich werde mein Essverhalten auf eine gesündere Ernährung umstellen und mehr Sport treiben.,2
9260, Ich möchte dieses Jahr auch wieder joggen gehen.,2
8804," Ich bin zu faul, mich zu bewegen.",0
3220, Ich werde meinen Kalorienverbrauch erhöhen und Sport treiben.,2
1692, Eigentlich möchte ich das aber auch gar nicht.,0
6200," Ich habe ein paar Diäten ausprobiert, aber ich konnte sie nicht durchhalten.",1
17688, Ich muss viel Sport machen.,0
6441, Ich esse auch viel mehr Obst und Gemüse.,1
23631, Ich höre Dir zu und gebe Dir Feedback.,0
21217, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,2
20970, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
25431," Ich bin, wie ich bin.",0
14370, Ich habe meinen Sport aufgestockt und meine Ernährung umgestellt.,1
17442," Ich habe es schon versucht, aber ich habe keine Disziplin.",0
7659, Ich werde mich besser fühlen und mehr Energie haben.,0
20508, Ich fühle mich nicht gut in meiner Haut und es ist einfach anstrengend.,0
20746, Ich muss das Gewicht halten und es ist schwer.,0
9482," Was könntest du tun, um mehr Systematik in die Verhaltensänderung zu bringen/die Änderung besser zu beobachten/kontrollieren?",0
9808, Ich habe schon viel verändert.,1
3774," Ich bin mir aber nicht sicher, ob ich das richtig mache.",1
8529," Mein Leben wird viel einfacher werden und ich werde mehr Zeit für die Dinge haben, die mir wichtig sind.",0
19132, Ich werde mehr Obst und Gemüse essen.,2
5824," Ich möchte meine Ernährung umstellen, insbesondere meinen Fleischkonsum reduzieren.",2
21295, Ich möchte mich wieder mehr bewegen.,2
16969," Ich bin froh, dass Du da bist.",1
22116, Ich möchte mehr Sport treiben und mich bewusst ernähren.,2
4735," Ich würde gerne bewusster essen und nicht so schnell zu viel essen, weil das einfach nicht gesund ist.",0
23729, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
901," Ich habe auch begonnen, mehr Obst und Gemüse zu essen.",1
22440," Ich möchte gesünder leben, weil ich mich dann besser fühle.",0
13431, Ich werde meine Ernährung auf eine gesunde Basis stellen.,0
1755, Ich mache mir immer wieder neue Ziele und kann sie nicht erreichen.,0
17306, Das ist eine gute Frage.,0
10185, Ich würde mich besser fühlen.,0
24535, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
3301," Ich will mehr Obst und Gemüse essen, das schmeckt mir besser als Süßigkeiten.",2
9656," Ich gehe jetzt regelmäßig zum Sport, aber ich bin zu faul zum joggen.",1
11976," Ich werde das Gewicht halten, dass ich habe.",2
13371," Wie sieht es mit deinem Verhalten aus, wenn du in eine Fast-Food-Filiale gehst?",0
280, Ich würde gerne auf eine gesündere Ernährung achten.,0
7071, Ich kann mehr Sport treiben.,0
11348, Meine Freunde würden mich verlassen.,0
948," Ich habe viel mehr Sport gemacht, und ich esse auch bewusster.",1
22031," Ich nahm mir vor, den Kuchen wegzuwerfen.",2
8725," Ich möchte mehr Sport machen, aber ich habe keine Zeit und keine Lust.",0
1991, Ich möchte gesünder leben.,0
2268," Siri: Okay, dann werde ich dir helfen, damit du abnimmst.",0
12839, Ich lasse mir einen Hund zulegen.,0
15912, Ich bin hier um Dich auf deinem Weg zu einem gesünderen Gewicht zu unterstützen.,0
21708," Ich habe schon einige Gewichts-Kontroll-Programme ausprobiert, aber es hat nie funktioniert.",1
15915," Ich kann mich nicht mehr so leicht entspannen, wenn ich zu viel Gewicht habe.",0
16599," Ich bin mir nicht sicher, ob ich es schaffe, aber ich mache einen Versuch.",2
22571, Ich habe eine Menge durchgemacht in den letzten Jahren und habe seitdem einige Kilos zugenommen.,0
7394, Hallo!,0
14903, Ich habe keine Lust.,0
4409, Ich habe ein paar Kilo abgenommen.,1
14929," Ich habe viel zu wenig Zeit, um mich mit dem Essen auseinanderzusetzen.",0
1628, Hallo!,0
8459," Ich bin mit meinem Hund spazieren gegangen, habe Yoga gemacht und vor allem bin ich viel gelaufen.",1
12733," Ich möchte gerne wissen, wie ich mein Gewicht reduzieren kann.",0
734," Ich habe auch begonnen, Sport zu treiben.",1
21362," Ich will eine gesunde Ernährung mit viel Obst und Gemüse, wenig Fleisch und Fisch, kein Fast Food und keine Süßigkeiten.",2
22563, Klassische Begründung!,0
17793, Ich werde mehr Obst und Gemüse essen.,2
11365, Ich habe keine Zeit mehr für Freunde und Familie.,0
9640, Aber das hat alles nicht geholfen.,1
20327, Ich habe auch einige Krankheiten in der Familie die ich vermeiden möchte.,0
2636," Ich bin zu dick, um mich zu bewegen.",0
24331, Ich habe versucht mit Sport und Diäten mein Gewicht zu reduzieren.,1
9935," Ich habe festgestellt, dass es mir hilft, wenn ich mich nicht mehr so viel Süßes und Fettes esse.",1
9906, Ich habe mich an eine ausgewogene Ernährung gehalten und mehr Sport getrieben.,1
22608, Ich bin einfach zu dick.,0
17047, Ich habe schon oft versucht abzunehmen.,0
15941, Ich würde es gerne ausprobieren.,0
12705, Ich kann mich mehr bewegen und für ein gesundes Körpergefühl sorgen.,0
21813, Ich möchte meine Gesundheit verbessern.,0
24219, Hallo!,1
18500, Ich möchte mein Gewicht reduzieren und meine Gesundheit fördern.,0
19843," Ich habe einige Ideen, die ich gerne mit Dir teilen möchte.",0
15628, Ich habe viele Probleme mit Gewicht und Abnehmen.,0
8509," Ich erhoffe mir, dass ich mehr Energie habe und mich besser fühle.",0
2590, Ich möchte mehr Lebensfreude.,0
21272, Meine Freunde und ich treffen uns dazu nach der Schule.,2
19914, Ich will nicht länger mit Diäten und fadenscheinigen Fitnessprogrammen herumexperimentieren.,0
22751, Ich weiß es nicht.,0
15660, Hallo!,0
17966, Ich habe zu hohe Ansprüche und bin zu ungeduldig.,0
21766," Aber ich weiß nicht, wie ich das alles umsetzen soll.",1
11147, Weil ich nicht weiß wie ich mit dem Essen aufhören soll.,0
5486," Ich habe Angst, dass ich zu viel esse, wenn ich nicht genau weiß, was ich esse.",0
